Plot,cluster7,Strata,Litter_m2,BM_yield_m2,cov_herb,cov_litter,cov_soil,latitude,longitude,fire_freq_MODIS,rec_fire_field_obs,fire_freq_check,lastfire_MODIS,lastfire_check,timesincefire_check,dung_livestock,dung_horse,dung_cattl,dung_sheepgoat,n_souslik_burrows,CWMheight,LF_530,LF_3060,pH_530,Sand_530,dist_settl_km
UR35,4,UR,55.56,172.12,50,30,75,50.81951824,64.88832336,1,0,1,2008,2008,8,0,0,0,0,1,22.75925926,65.4,146.9,8.33,2.1,3.578
UR37,3,UR,,,30,1,70,50.69398139,65.06954782,2,0,2,2005,2005,11,5,3,2,0,10,11.36363636,147.7,1278,8.55,9.5,8.965
UR38,4,UR,,150.04,30,2,70,50.51505114,65.19765322,1,1,2,2012,2014,2,0,0,0,0,1,19.43181818,99.7,628,9.01,24.3,27.753
UR40,5,UR,,130.58,35,2,65,50.50490074,65.10594464,2,1,3,2012,2014,2,0,0,0,0,0,20.73170732,42,46.2,8.07,26.3,21.658
UR41,5,UR,13.44,87.72,40,10,50,50.68267135,65.05048259,1,0,1,2002,2002,14,8,2,6,0,0,17.39583333,8.1,13.7,6.65,24.4,10.298
UR42,2,UR,,30.36,35,1,65,50.52656234,64.7988017,1,0,1,2010,2010,6,17,0,9,8,0,19.99324324,1938,4220,7.84,2.8,3.285
UR43,5,UR,99.7,194.3,65,30,10,50.71913749,65.06857895,1,0,1,2005,2005,11,4,2,2,0,2,35.25418994,10.8,20.2,7.23,15.2,6.166
UR44,5,UR,,54.26,15,0,85,50.62609367,65.33906205,2,1,3,2008,2015,1,0,0,0,0,2,15,83.7,561,8.39,9.6,25.218
UR45,1,UR,33.68,106.52,45,10,50,50.51365748,65.13955615,1,0,1,2012,2012,4,0,0,0,0,0,24.65,108,386,9.04,13.5,23.738
UR46,7,UR,,60.68,25,3,75,50.5984732,64.81564103,1,0,1,2005,2005,11,6,2,4,0,1,21.17307692,83,1045,8.34,24.5,4.364
UR47,5,UR,14.2,91.4,34,4,68,50.68355656,65.02125196,2,0,2,2005,2005,11,1,1,0,0,0,18.66935484,65.7,86.9,8.75,30.3,10.65
UR49,5,UR,,80.74,35,4,65,50.72061086,65.08048436,1,0,1,2005,2005,11,3,3,0,0,2,22,74.7,858,8.56,12.9,6.066
UR50,5,UR,,112.66,25,3,72,50.62547064,65.13258082,2,1,3,2008,2014,2,0,0,0,0,0,17.25961538,197.9,831,9.26,16.8,17.199
UR51,1,UR,16.96,121.98,40,5,60,50.67005751,64.9528769,2,1,3,2005,2014,2,5,5,0,0,3,27.41860465,113.5,311,8.96,16.5,7.795
UR52,1,UR,,136.48,40,5,60,50.68516893,64.97133962,2,1,3,2005,2014,2,8,7,1,0,2,25.87209302,133.1,322,8.96,8.9,8.077
UR53,1,UR,,138.02,45,1,55,50.68829148,64.9541295,2,0,2,2005,2005,11,0,0,0,0,0,22.39130435,67.1,251,8.89,10.1,6.822
UR54,4,UR,35.52,155.3,40,5,55,50.70550343,64.9786358,2,0,2,2005,2005,11,0,0,0,0,1,21.88372093,83.3,91.3,8.81,7.1,8.015
UR55,5,UR,15.16,81.88,30,2,70,50.7092141,65.0372824,1,0,1,2005,2005,11,11,10,1,0,4,16.00714286,50.4,398,8.37,25.3,7.588
